Ref,Val,Package,PosX,PosY,Rot,Side
"R20","1M","R_0603_1608Metric_fabdesignatorsmall",129.836500,-141.345000,0.000000,top
"R23","500","R_0603_1608Metric_fabdesignatorsmall",138.444000,-142.234000,180.000000,top
"R24","500","R_0603_1608Metric_fabdesignatorsmall",138.418500,-147.060000,180.000000,top
"R53","10k","R_0603_1608Metric_fabdesignatorsmall",136.000000,-45.000000,-90.000000,top
"R54","10k","R_0603_1608Metric_fabdesignatorsmall",139.927500,-49.050000,180.000000,top
"R55","10R","R_0603_1608Metric_fabdesignatorsmall",141.110000,-40.500000,-90.000000,top
"R56","10R","R_0603_1608Metric_fabdesignatorsmall",139.240000,-40.530000,-90.000000,top
"R57","120r","R_1210_3225Metric_Pad1.30x2.65mm_HandSolder",139.750000,-37.100000,180.000000,top
"Ri2cSCL1","500","R_0603_1608Metric_fabdesignatorsmall",135.412500,-99.200000,0.000000,top
"Ri2cSCL2","500","R_0603_1608Metric_fabdesignatorsmall",132.312500,-99.200000,0.000000,top
"Ri2cSDA1","500","R_0603_1608Metric_fabdesignatorsmall",135.400000,-100.800000,0.000000,top
"Ri2cSDA2","500","R_0603_1608Metric_fabdesignatorsmall",132.300000,-100.800000,0.000000,top
"U1","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",130.878000,-145.028000,180.000000,top
"U2","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",130.878000,-136.365000,180.000000,top
"U3","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",130.903000,-127.714000,180.000000,top
"U4","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",130.878000,-119.428000,180.000000,top
"U5","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",130.853000,-110.833000,180.000000,top
"U6","~","SOT-5X3-8",140.090000,-44.300000,90.000000,top
